Name,ID
Noel Felix,101230
Ray Felix,76704
Raymond Felton,101109
Jake Fendley,76705
Bill Fenley,76706
Desmond Ferguson,2724
Terrance Ferguson,1628390
Rudy Fernandez,201164
Bruno Fernando,1628981
Eric Fernsten,76707
Al Ferrari,76708
Rolando Ferreira,76709
Duane Ferrell,273
Yogi Ferrell,1627812
Arnie Ferrin,76711
Bob Ferry,76712
Danny Ferry,198
Kyrylo Fesenko,201178
Kenny Fields,76713
Landry Fields,202361
Ron Filipek,76714
Kyle Filipowski,1642271
Greg Fillmore,76715
Hank Finkel,76716
Michael Finley,714
Billy Gabor,76768
Wenyen Gabriel,1629117
Dan Gadzuric,2429
Tony Gaffney,202070
Daniel Gafford,1629655
Deng Gai,101184
Elmer R. Gainer,76769
Corey Gaines,76770
Reece Gaines,2558
Sundiata Gaines,202178
Mike Gale,76771
Chad Gallagher,76772
Harry Gallatin,76773
Danilo Gallinari,201568
Jaylin Galloway,1641945
Langston Galloway,204038
Dave Gambee,76774
Kevin Gamble,333
Bob Gantt,76776
Jorge Garbajosa,200816
Ruben Garces,2092
Alex Garcia,2682
Francisco Garcia,101128
Earl Gardner,76778
Thomas Gardner,201242
Vern Gardner,76779
Jack Garfinkel,76780
Patricio Garino,1627868
Darius Garland,1629636
Gary Garland,76781
Winston Garland,76782
Dick Garmaker,76783
Chris Garner,1612
Bill Garnett,76785
Kevin Garnett,708
Marlon Garnett,1831
Billy Garrett,1628656
Calvin Garrett,76786
Dean Garrett,1051
Diante Garrett,203197
Eldo Garrett,76788
Marcus Garrett,1630585
Rowland Garrett,76789
Tom Garrick,76790
John Garris,76791
Kiwane Garris,1619
Pat Garrity,1727
Usman Garuba,1630586
Jim Garvin,76793
Luka Garza,1630568
Seung-Jin Ha,2775
Rui Hachimura,1629060
Rudy Hackett,76910
Hamed Haddadi,201632
Scott Haffner,76911
Cliff Hagan,76912
Glenn Hagan,76913
Ashton Hagans,1630204
Bob Hahn,76914
Al Hairston,76915
Happy Hairston,76916
Lindsay Hairston,76917
Malik Hairston,201612
PJ Hairston,203798
Marcus Haislip,2409
Chuck Halbert,76918
Harvey Halbrook,76919
Bruce Hale,76920
Jack Haley,917
Tyrese Haliburton,1630169
Shaler Halimon,76922
Devon Hall,1628985
Donta Hall,1629743
Jordan Hall,1631160
Josh Hall,1630221
Mike Hall,200837
PJ Hall,1641790
Tyler Hall,1629788
Jeff Halliburton,76923
Darvin Ham,1032
Steve Hamer,984
Dale Hamilton,76925
Daniel Hamilton,1627772
Dennis Hamilton,76926
Jordan Hamilton,202706
Justin Hamilton,203120
Ralph Hamilton,76927
Richard Hamilton,1888
Roylee Hamilton,76928
Steve Hamilton,76929
Tang Hamilton,2347
Thomas Hamilton,676
Zendon Hamilton,1985
Geert Hammink,903
Tom Hammonds,67
AJ Hammons,1627773
R.J. Hampton,1630181
Darrin Hancock,241
Ben Handlogten,1052
Cecil Hankins,76935
Marc Iavaroni,77092
Serge Ibaka,201586
Oso Ighodaro,1642345
Andre Iguodala,2738
Zydrunas Ilgauskas,980
Mile Ilic,101148
Ersan Ilyasova,101141
Darrall Imhoff,77093
Tom Ingelsby,77094
Joe Ingles,204060
Damien Inglis,203996
Andre Ingram,201281
Brandon Ingram,1627742
Harrison Ingram,1631127
Joel Ingram,77095
Byron Irvin,77096
Kyrie Irving,202681
Jonathan Isaac,1628371
Dan Issel,77097
Mike Iuzzolino,77098
Allen Iverson,947
Jaden Ivey,1631093
Royal Ivey,2767
Wes Iwundu,1628411
Jarrett Jack,101127
Aaron Jackson,1628935
Al Jackson,77099
Bobby Jackson,1517
Cedric Jackson,202132
Darnell Jackson,201616
Demetrius Jackson,1627743
Frank Jackson,1628402
GG Jackson,1641713
Greg Jackson,77101
Isaiah Jackson,1630543
Jaren Jackson,1114
Jermaine Jackson,1983
Jim Jackson,754
Josh Jackson,1628367
Justin Jackson,1628382
Lucious Jackson,77103
Luke Jackson,2739
Marc Jackson,1531
Mark Jackson,349
Michael Jackson,77104
Myron Jackson,77105
Phil Jackson,77106
Pierre Jackson,203510
Quenton Jackson,1631245
Ralph Jackson,77107
Randell Jackson,1872
Reggie Jackson,202704
Stanley Jackson,77109
Stephen Jackson,1536
Tony Jackson,77100
Tracy Jackson,77110
Wardell Jackson,77111
Andre Jackson Jr.,1641748
Jaren Jackson Jr.,1628991
Trayce Jackson-Davis,1631218
Winfred Jacobs,77112
Casey Jacobsen,2418
Sam Jacobson,1734
Dave Jamerson,77114
Aaron James,77115
Bernard James,203108
Bronny James,1642355
Damion James,202345
Gene James,77116
Henry James,1080
Jerome James,1744
Justin James,1629713
LeBron James,2544
Mike James,2229
Mfiondu Kabengele,1629662
Edwin Kachan,77217
George Kaftan,77218
Ed Kalafat,77219
Georgios Kalaitzakis,1630686
Chris Kaman,2549
Frank Kaminsky,1626163
Ralph Kaplowitz,77221
Jason Kapono,2574
Tony Kappen,77222
Sergey Karasev,203508
Coby Karl,201207
George Karl,77223
Ed Kasid,77225
Mario Kasun,2435
Leo Katkaveck,77226
Bob Kauffman,77227
Sasha Kaun,201619
Wilbert Kautz,77228
Yuki Kawamura,1642530
Clarence Kea,77229
Michael Kearns,77230
Tommy Kearns,77231
Adam Keefe,228
Harold Keeling,77233
Trevor Keels,1631211
Ken Keller,77234
Rich Kelley,77235
Clark Kellogg,77236
Gerard Kelly,77237
Ryan Kelly,203527
Tom Kelly,77238
Greg Kelser,77239
Ben Kelso,77240
Shawn Kemp,431
Tim Kempton,1118
Frank Kendrick,77242
Luke Kennard,1628379
D.J. Kennedy,202810
Eugene Kennedy,77243
Joe Kennedy,77244
William Kennedy,77245
Larry Kenon,77246
Bill Kenville,77247
Jonathan Kerner,1801
Johnny Kerr,77248
Steve Kerr,70
Jack Kerris,77249
Jerome Kersey,760
Alec Kessler,77251
Fred LaCour,77327
Raef LaFrentz,1711
Tom LaGarde,77328
Jake LaRavia,1631222
Rusty LaRue,1601
Rudy LaRusso,77340
Zach LaVine,203897
Skal Labissiere,1627746
Sam Lacey,77326
Christian Laettner,363
Oliver Lafayette,201802
Bill Laimbeer,100263
Pete Lalich,77329
Bo Lamar,77330
Anthony Lamb,1630237
Doron Lamb,203117
Jeremy Lamb,203087
John Lambert,77331
Jeff Lamp,77332
Maciej Lampe,2573
Jim Lampley,77333
Sean Lampley,2253
Jock Landale,1629111
Carl Landry,201171
Marcus Landry,202068
Mark Landsberger,77334
Jerome Lane,77335
Andrew Lang,457
Antonio Lang,226
James Lang,2591
Trajan Langdon,1892
Keith Langford,101247
Romeo Langford,1629641
Dan Langhi,2061
Bob Lanier,600005
Stu Lantz,77338
Nicolas Laprovittola,1627879
York Larese,77339
Shane Larkin,203499
Pelle Larsson,1641796
John Laskowski,77341
Stephane Lasme,201186
Dave Lattin,77342
Priest Lauderdale,968
Rich Laurel,77344
Walt Lautenbach,77345
Joffrey Lauvergne,203530
Tony Lavelli,77346
Bob Lavoy,77347
Acie Law,201151
Sheldon Mac,1627815
Todd MacCulloch,1928
Ronnie MacGilvray,77430
Don MacLean,931
Mike Macaluso,77428
Ed Macauley,77429
Scott Machado,203159
Arvydas Macijauskas,101178
Ollie Mack,77432
Sam Mack,694
Shelvin Mack,202714
Malcolm Mackey,1635
Rudy Macklin,77435
Vernon Macklin,202731
Johnny Macknowski,77436
Daryl Macon,1629133
Mark Macon,1855
J.P. Macura,1629122
Kyle Macy,77438
Jack Maddox,77439
Tito Maddox,2432
Gerald Madkins,1666
Mark Madsen,2058
Norm Mager,77441
Josh Magette,203705
Corey Maggette,1894
Dave Magley,77442
Jamaal Magloire,2048
Will Magnay,1630266
Ian Mahinmi,101133
John Mahnken,77443
Francis Mahoney,77444
Rick Mahorn,328
Dan Majerle,105
Renaldo Major,200970
Thon Maker,1627748
Lionel Malamed,77447
Theo Maledon,1630177
Jeff Malone,117
Karl Malone,252
Moses Malone,77449
Matt Maloney,1074
Steve Malovic,77450
Sandro Mamukelashvili,1630572
Ted Manakas,77451
John Mandic,77452
Karim Mane,1630211
Frank Mangiapane,77453
Marcus Mann,986
Terance Mann,1629611
 Nene,2403
Makhtar N'diaye,1823
Makhtar N'diaye,1626122
Mamadou N'diaye,2055
Bob Naber,77681
Boris Nachamkin,77682
Bostjan Nachbar,2411
Abdel Nader,1627846
Jerry Nagel,77683
Fred Nagy,77684
Lee Nailon,1924
Eduardo Najera,2059
Larry Nance,77685
Pete Nance,1631250
Larry Nance Jr.,1626204
Shabazz Napier,203894
Paul Napolitano,77686
Bob Nash,77688
Charles Nash,77687
Steve Nash,959
Swen Nater,77689
Howard Nathan,77690
Calvin Natt,77691
Kenny Natt,77692
Willie Naulls,77693
Juan Carlos Navarro,2434
Hamady Ndiaye,202380
Boniface Ndong,101238
Maurice Ndour,1626254
Craig Neal,77694
Gary Neal,202390
Jim Neal,77695
Lloyd Neal,77696
Ed Nealy,77697
Nemanja Nedovic,203517
Al Negratti,77698
Barry Nelson,77699
DeMarcus Nelson,201634
Don Nelson,77700
Jameer Nelson,2749
Louie Nelson,77701
Andrew Nembhard,1629614
Ruben Nembhard,1129
RJ Nembhard Jr.,1630612
Tyrone Nesby,1838
Aaron Nesmith,1630174
Martin Nessley,77704
Rasho Nesterovic,1725
Raul Neto,203526
Johnny Neumann,77705
Charles O'Bannon,1525
Ed O'Bannon,709
John O'Boyle,77742
Bob O'Brien,77744
Buckshot O'Brien,77743
JJ O'Brien,1626266
Patrick O'Bryant,200753
Johnny O'Bryant III,203948
Dermie O'Connell,77745
Andy O'Donnell,77746
Francis O'Grady,77750
Dick O'Keefe,77752
Tommy O'Keefe,77753
Mike O'Koren,77754
Grady O'Malley,77766
Jermaine O'Neal,979
Shaquille O'Neal,406
Royce O'Neale,1626220
Mike O'Neill,77767
Kyle O'Quinn,203124
Kevin O'Shea,77773
Garland O'Shields,77774
Dan O'Sullivan,77776
Charles Oakley,891
Fabricio Oberto,101177
Daniel Ochefu,1627849
Greg Oden,201141
Lamar Odom,1885
Carlos Ogden,77747
Ralph Ogden,77748
Alan Ogg,1628
Don Ohl,77751
Tim Ohlbrecht,203317
Semi Ojeleye,1628400
Emeka Okafor,2731
Jahlil Okafor,1626143
Chuma Okeke,1629643
Elie Okobo,1629059
Josh Okogie,1629006
Onyeka Okongwu,1630168
Isaac Okoro,1630171
KZ Okpala,1629644
Mehmet Okur,2246
Victor Oladipo,203506
Hakeem Olajuwon,165
Mark Olberding,77756
Jawann Oldham,77757
Johnny Oldham,77758
Frank Oleynick,77759
Quincy Olivari,1642439
Joe Pace,77788
Zaza Pachulia,2585
Robert Pack,123
Gerald Paddio,77789
Scott Padgett,1909
Jaysean Paige,1629873
Marcus Paige,1627779
Fred Paine,77790
Milt Palacio,1960
Togo Palazzi,77791
Jim Palmer,77792
John Palmer,77793
Trayvon Palmer,1629309
Walter Palmer,77794
Kevin Pangos,1630698
Andy Panko,1950
Georgios Papagiannis,1627834
Kostas Papanikolaou,203123
Jannero Pargo,2457
Jeremy Pargo,202951
Estes Parham,77797
Robert Parish,305
Medford Park,77799
Anthony Parker,1515
Jabari Parker,203953
Smush Parker,2470
Sonny Parker,77800
Tony Parker,2225
Jack Parkinson,77801
Cherokee Parks,685
Jack Parr,77802
Doyle Parrack,77803
Charlie Parsley,77804
Chandler Parsons,202718
Eric Paschall,1629672
Anžejs Pasečņiks,1628394
Zarko Paspalj,1097
Marty Passaglia,77806
George A. Pastushok,77807
Myles Patrick,77808
Stan Patrick,77809
Andrae Patterson,1754
George Patterson,77811
Lamar Patterson,203934
Patrick Patterson,202335
Ruben Patterson,1739
Steve Patterson,77812
Tommy Patterson,77813
Worthy Patterson,77814
Justin Patton,1628383
Zhou Qi,1627753
Tim Quarterman,1627817
Trevelin Queen,1630243
Neemias Queta,1629674
Bob Quick,77892
Immanuel Quickley,1630193
Chris Quinn,200809
Brian Quinnett,77893
Lester Quinones,1631311
Ivan Rabb,1628397
Luke Rackley,77894
Howie Rader,77895
Mark Radford,77896
Wayne Radford,77897
Dino Radja,129
Vladimir Radmanovic,2209
Aleksandar Radojevic,1893
Frank Radovich,77899
Moe Radovich,77900
Miroslav Raduljica,203545
Ray Radziszewski,77901
Ray Ragelis,77902
Sherwin Raiken,77903
Ed Rains,77904
Igor Rakocevic,2080
Kurt Rambis,77905
Peter John Ramos,2762
Cal Ramsey,77906
Frank Ramsey,77907
Jahmi'us Ramsey,1630186
Ray Ramsey,77908
Mark Randall,1821
Chasson Randle,1626184
Julius Randle,203944
Anthony Randolph,201576
Shavlik Randolph,101183
Zach Randolph,2216
Wally Rank,77910
Kelvin Ransey,77911
Sam Ranzino,77912
Blair Rasmussen,78656
Xavier Rathan-Mayes,1628504
George Ratkovicz,77913
Ed Ratleff,77914
Mike Ratliff,77915
Theo Ratliff,689
Andy Rautins,202360
Leo Rautins,77916
Allan Ray,200810
Clifford Ray,77917
Don Ray,77918
Jamesearl Ray,77920
Jim Ray,77919
Craig Raymond,77921
Connie Rea,77922
Duop Reath,1641871
Austin Reaves,1630559
Joe Reaves,77923
Josh Reaves,1629729
Arvydas Sabonis,717
Domantas Sabonis,1627734
Robert Sacre,203135
Ed Sadowski,78050
Kenny Sailors,78051
Tidjane Salaün,1642275
John Salley,927
John Salmons,2422
Kevin Salvadori,1089
Soumaila Samake,2066
Luka Samanic,1629677
Cheikh Samb,200798
Brandon Sampson,1629102
JaKarr Sampson,203960
Jamal Sampson,2441
Ralph Sampson,78055
Samardo Samuels,202396
Jermaine Samuels Jr.,1631257
Pepe Sanchez,2143
Frankie Sanders,78057
Jeff Sanders,1874
Larry Sanders,202336
Melvin Sanders,2684
Mike Sanders,78059
Thomas Sanders,78060
Adama Sanogo,1641766
Daniel Santiago,2091
Bob Santini,78061
Gui Santos,1630611
Wayne Sappleton,78062
Alexandre Sarr,1642259
Olivier Sarr,1630846
Jason Sasser,987
Jeryl Sasser,2219
Marcus Sasser,1631204
Tomas Satoransky,203107
Kenny Satterfield,2261
Frank Saul,78063
Woody Sauldsberry,78064
Fred Saunders,78065
Don Savage,78066
Predrag Savovic,2453
Alan Sawyer,78067
Brian Scalabrine,2243
Alex Scales,2637
Dewayne Scales,78068
Frank Schade,78069
Ben Schadler,78070
Herm Schaefer,78071
Bob Schafer,78072
Zan Tabak,440
Yuta Tabuse,2657
Chris Taft,101147
Sid Tannenbaum,78291
Dragan Tarlac,1434
Roy Tarpley,78293
Jae'Sean Tate,1630256
Earl Tatum,78294
Jayson Tatum,1628369
Edy Tavares,204002
Anthony Taylor,78295
Brian Taylor,78296
Donell Taylor,101182
Fred Taylor,78298
Isaiah Taylor,1627819
Jay Taylor,78297
Jeff Taylor,78299
Jeffery Taylor,203106
Jermaine Taylor,201966
Johnny Taylor,1511
Leonard Taylor,78301
Maurice Taylor,1508
Mike Taylor,201446
Roland Taylor,78302
Terry Taylor,1630678
Tyshawn Taylor,203116
Vince Taylor,78303
Terry Teagle,78304
Jeff Teague,201952
Marquis Teague,203104
Mirza Teletovic,203141
Sebastian Telfair,2742
Garrett Temple,202066
Milos Teodosic,1628462
Ira Terrell,78305
Jared Terrell,1629123
Carlos Terry,78307
Chuck Terry,78306
Claude Terry,78308
Dalen Terry,1631207
Emanuel Terry,1629150
Jason Terry,1891
Tyrell Terry,1630179
Jon Teske,1630257
Hasheem Thabeet,201934
Tom Thacker,78309
Daniel Theis,1628464
Reggie Theus,78310
Peter Thibeaux,78311
Bill Thieben,78312
Edwin Ubiles,202775
Ekpe Udoh,202327
Ime Udoka,2137
Beno Udrih,2757
Roko Ukic,101146
Tyler Ulis,1627755
Stanley Umude,1630649
Wes Unseld,78392
Hal Uplinger,78393
Kelvin Upshaw,78394
Jarrod Uthoff,1627784
Ben Uzoh,202386
Robert Vaden,201987
Jonas Valančiūnas,202685
Darnell Valentine,78395
Denzel Valentine,1627756
Ron Valentine,78396
John Vallely,78397
Dick Van Arsdale,78398
Tom Van Arsdale,78399
Butch Van Breda Kolff,78401
Jan Van Breda Kolff,78400
Nick Van Exel,89
Keith Van Horn,1496
Norm Van Lier,78406
Fred VanVleet,1627832
Gene Vance,78402
Log Vander Velden,78403
Jarred Vanderbilt,1629020
Ernie Vandeweghe,78405
Kiki Vandeweghe,78404
Nick Vanos,78407
David Vanterpool,2128
Ratko Varda,2237
Anderson Varejao,2760
Jarvis Varnado,202363
Greivis Vasquez,202349
Devin Vassell,1630170
Charles Vaughn,78409
David Vaughn,710
Jacque Vaughn,1521
Rashad Vaughn,1626173
Virgil Vaughn,78411
Loy Vaught,919
Bob Verga,78413
Peter Verhoeven,78414
Jan Vesely,202686
Gundars Vetra,78415
Sasha Vezenkov,1628426
Joao Vianna,78416
Luca Vildoza,1630492
Charlie Villanueva,101111
Gabe Vincent,1629216
Jay Vincent,78418
Sam Vincent,78417
Marcus Vinicius,200790
Fred Vinson,1844
Gary Voce,78419
Floyd Volker,78420
Alexander Volkov,78421
Whitey Von Nieda,78422
Noah Vonleh,203943
Dean Wade,1629731
Dwyane Wade,2548
Mark Wade,78426
Von Wafer,101144
Clint Wager,78427
Dajuan Wagner,2402
Danny Wagner,78428
Franz Wagner,1630532
Milt Wagner,78429
Moritz Wagner,1629021
Ish Wainright,1630688
Dion Waiters,203079
Granville Waiters,78430
Andre Wakefield,78431
Neal Walk,78432
Andy Walker,78433
Antoine Walker,952
Brady Walker,78434
Chet Walker,78435
Darrell Walker,78437
Foots Walker,78436
Henry Walker,201611
Horace Walker,78438
Jabari Walker,1631133
Jarace Walker,1641716
Jimmy Walker,78439
Kemba Walker,202689
Kenny Walker,78440
MJ Walker,1630640
Phil Walker,78441
Samaki Walker,955
Wally Walker,78442
Lonnie Walker IV,1629022
John Wall,202322
Ben Wallace,1112
Cason Wallace,1641717
Gerald Wallace,2222
John Wallace,961
Keaton Wallace,1630811
Michael Wallace,78443
Rasheed Wallace,739
Tyrone Wallace,1627820
Dwight Waller,78444
Jamie Waller,78445
Jim Walsh,78446
Jordan Walsh,1641775
Matt Walsh,101190
Ja'Kobe Walter,1642266
Rex Walters,777
Paul Walther,78447
Guerschon Yabusele,1627824
Vincent Yarbrough,2428
George Yardley,78628
Barry Yates,78629
Wayne Yates,78630
Charlie Yelverton,78631
Rich Yonakor,78632
Cui Yongxi,1642385
Gabe York,1628221
Danny Young,78633
James Young,203923
Joe Young,1626202
Korleone Young,1748
Michael Young,78634
Nick Young,201156
Perry Young,78635
Sam Young,201970
Thaddeus Young,201152
Tim Young,1937
Trae Young,1629027
Omer Yurtseven,1630209
Max Zaslofsky,78638
Robert Zawoluk,78639
Cody Zeller,203469
Dave Zeller,78640
Gary Zeller,78641
Hank Zeller,78642
Luke Zeller,202545
Tyler Zeller,203092
Tony Zeno,78643
Phil Zevenbergen,78644
Wang Zhi-zhi,1917
George Zidek,678
Derrick Zimmerman,2583
Stephen Zimmerman,1627757
Paul Zipser,1627835
Ante Zizic,1627790
Jim Zoet,78647
Bill Zopf,78648
Ivica Zubac,1627826
Matt Zunic,78650
Tristan da Silva,1641783
Vlatko Čančar,1628427
Dario Šarić,203967
